================================================================
SUMMARY — async upsert against every published Intel V4 fmspc
TCB_EVALS=19,20,21
================================================================
| EVAL | TEE | FMSPC        | STATUS           | TX GAS                                                                                                                   |  WALL |
| 19   | SGX | 00806EA60000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=1939275, upload_tcb_levels_batch_3_6=2165929, upload_tcb_levels_batch_6_9=2361105, upload_tcb_levels_batch_9_12=2606139, upload_tcb_levels_batch_12_15=2750120, upload_tcb_levels_batch_15_18=3015513, upload_tcb_levels_batch_18_21=3181837, upload_tcb_levels_batch_21_22=1223606, finalize_async_upsert=4801486 |   79s |
| 19   | SGX | 90C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=493346, upload_tcb_levels_batch_0_3=2802815, finalize_async_upsert=1699752  |   30s |
| 19   | TDX | 10A06F010000 | OK               | start_async_upsert=406725, upload_basic_info=902738, upload_tcb_levels_batch_0_1=1265885, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=1683644 |   37s |
| 19   | TDX | 60A06F000000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=3768266, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=2297213 |   37s |
| 19   | TDX | 20A06E050000 | FAIL             | -                                                                                                                        |    2s |
| 19   | TDX | C0806F000000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=4081929, upload_tcb_levels_batch_3_5=3226060, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=3110587 |   44s |
| 19   | TDX | 70A06D070000 | OK               | start_async_upsert=406701, upload_basic_info=902738, upload_tcb_levels_batch_0_2=2393251, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=1965057 |   37s |
| 19   | TDX | 20A06D080000 | OK               | start_async_upsert=406725, upload_basic_info=902738, upload_tcb_levels_batch_0_2=2393919, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=1968679 |   37s |
| 19   | TDX | 10A06D000000 | OK               | start_async_upsert=406713, upload_basic_info=902726, upload_tcb_levels_batch_0_2=2393239, upload_tdx_module_identities_batch_0_2=1220198, finalize_async_upsert=1983518 |   37s |
| 19   | TDX | 00806F050000 | OK               | start_async_upsert=406725, upload_basic_info=902573, upload_tcb_levels_batch_0_3=4081929, upload_tcb_levels_batch_3_5=3456018, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=3154284 |   44s |
| 19   | TDX | 20A06F000000 | OK               | start_async_upsert=406701, upload_basic_info=902738, upload_tcb_levels_batch_0_3=3768254, upload_tdx_module_identities_batch_0_2=1220198, finalize_async_upsert=2300764 |   38s |
| 19   | TDX | 90C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=902750, upload_tcb_levels_batch_0_3=4284254, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=2409507 |   37s |
| 19   | TDX | 50806F000000 | OK               | start_async_upsert=406713, upload_basic_info=902561, upload_tcb_levels_batch_0_3=4081917, upload_tcb_levels_batch_3_5=3456006, upload_tdx_module_identities_batch_0_2=1220198, finalize_async_upsert=3151654 |   45s |
| 19   | TDX | B0C06F000000 | OK               | start_async_upsert=406725, upload_basic_info=902927, upload_tcb_levels_batch_0_3=4284254, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=2411570 |   37s |
| 19   | TDX | 00A06D080000 | OK               | start_async_upsert=406713, upload_basic_info=902738, upload_tcb_levels_batch_0_2=2393251, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=1966317 |   37s |
| 19   | TDX | 00A06E050000 | OK               | start_async_upsert=406725, upload_basic_info=902738, upload_tcb_levels_batch_0_2=2393919, upload_tdx_module_identities_batch_0_2=1220210, finalize_async_upsert=1980727 |   38s |
